name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kathmandu,Nepal",2024-08-10,26,19.6,22.8,26,19.6,22.8,20.7,89,8.7,100,58.33,rain,0,0,6.8,13,203.5,1011.6,83.3,8.7,138.6,12.1,7,10,2024-08-10T05:31:43,2024-08-10T18:46:07,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VNKT,remote"
"Kathmandu,Nepal",2024-08-11,24.4,18.6,21.4,24.4,18.6,21.4,19.3,88.2,21.3,100,75,rain,0,0,7.2,7.2,225.3,1005.7,84.7,16.3,218.3,19,7,30,2024-08-11T05:32:15,2024-08-11T18:45:16,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Kathmandu,Nepal",2024-08-12,23.8,19.6,21.5,23.8,19.6,21.5,19.4,88.1,16,100,87.5,rain,0,0,7.2,7.6,279.8,1006,73.5,16.7,198.8,17.2,7,10,2024-08-12T05:32:46,2024-08-12T18:44:24,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
"Kathmandu,Nepal",2024-08-13,23,19.4,20.8,23,19.4,20.8,19.5,92.5,22.2,100,91.67,rain,0,0,5,5,222.9,1006.5,96.6,16.5,101.4,8.8,5,10,2024-08-13T05:33:17,2024-08-13T18:43:32,0.29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
"Kathmandu,Nepal",2024-08-14,24.3,19.3,21.4,24.3,19.3,21.4,19.2,87.4,12,100,50,rain,0,0,5.4,6.1,192.2,1006.1,98.9,18.7,156.4,13.5,6,10,2024-08-14T05:33:48,2024-08-14T18:42:38,0.32,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,
"Kathmandu,Nepal",2024-08-15,23.7,19.7,21.5,23.7,19.7,21.5,20,91,21.5,96.8,62.5,rain,0,0,7.2,6.5,223.2,1004.5,90.6,15.7,186.2,16.4,6,30,2024-08-15T05:34:18,2024-08-15T18:41:44,0.35,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
"Kathmandu,Nepal",2024-08-16,24.8,19.5,21.8,24.8,19.5,21.8,19.9,89.4,26.9,100,29.17,rain,0,0,6.8,6.8,237.4,1003.4,54.2,15.5,250.4,21.6,9,30,2024-08-16T05:34:49,2024-08-16T18:40:48,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Kathmandu,Nepal",2024-08-17,24.4,19.1,21.5,24.4,19.1,21.5,19.8,90.1,40.1,100,33.33,rain,0,0,7.9,7.6,220.5,1005.6,66.9,12.7,284.5,24.9,9,30,2024-08-17T05:35:19,2024-08-17T18:39:52,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Kathmandu,Nepal",2024-08-18,24.6,18.8,21.5,24.6,18.8,21.5,19.6,89.2,22.3,100,29.17,rain,0,0,7.6,7.9,250.8,1006.5,53.3,15.8,283.9,24.6,9,30,2024-08-18T05:35:50,2024-08-18T18:38:55,0.45,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
"Kathmandu,Nepal",2024-08-19,24.9,19,21.8,24.9,19,21.8,19.8,88.2,22.8,100,25,rain,0,0,7.6,7.9,246.1,1005,91.5,19.2,268.9,23.4,8,30,2024-08-19T05:36:20,2024-08-19T18:37:57,0.48,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
"Kathmandu,Nepal",2024-08-20,25.4,19.5,21.6,25.4,19.5,21.6,20,90.6,23.9,100,33.33,rain,0,0,8.6,6.5,203.5,1004.9,95.7,20,175.4,15.3,8,30,2024-08-20T05:36:49,2024-08-20T18:36:59,0.5,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
"Kathmandu,Nepal",2024-08-21,25.7,20.1,22.4,25.7,20.1,22.4,20.2,87.9,15.3,100,33.33,rain,0,0,6.8,7.6,217.7,1004.6,94.6,21.3,253.3,22.1,8,30,2024-08-21T05:37:19,2024-08-21T18:35:59,0.55,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
"Kathmandu,Nepal",2024-08-22,25.9,19.7,22.4,25.9,19.7,22.4,20,86.7,15.2,96.8,33.33,rain,0,0,5.4,6.5,201.3,1005.6,83.6,19.1,237.1,20.7,7,30,2024-08-22T05:37:49,2024-08-22T18:34:59,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Kathmandu,Nepal",2024-08-23,24.4,20,21.6,24.4,20,21.6,19.9,90.7,31.1,96.8,33.33,rain,0,0,5.2,5,175.7,1008,99.7,14.1,127.6,10.8,5,30,2024-08-23T05:38:18,2024-08-23T18:33:59,0.62,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
"Kathmandu,Nepal",2024-08-24,21.7,19.3,20,21.7,19.3,20,19.3,95.7,45.1,90.3,33.33,rain,0,0,5.4,4.3,67.8,1009.6,90.5,12.8,44.5,3.9,2,10,2024-08-24T05:38:47,2024-08-24T18:32:57,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
